Event id,Trip id,DSS IVS,Event time (local),Local UTC offset (minutes),Type,Detected type,Duration (sec),Speed (kph),Speed (mph),Distance covered (metres),Distance covered (feet),Confirmation,Sub-type,Confirmed by,Confirmation time,Bearing (degrees),GPIO alert,Audio alert,Trip start time,Time into trip (minutes),Trip distance (kms),Trip distance (miles)
101933433,10151911,P04025-S00008517,2/9/17 15:35,480,distraction,glance_down,5.95,82,51,135,444,false positive,acceptable driving,John,2/9/17 16:15,325,Yes,Yes,2/9/17 12:32,183,190,118
101937284,10143429,P04025-S00000949,2/9/17 15:38,480,distraction,glance_away,5.78,95,59,153,500,false positive,acceptable driving,John,2/9/17 16:34,130,No,No,2/9/17 4:57,641,690,429
138375527,13313918,Unit001,30/11/17 14:58,480,distraction,glance_down,6.98,91,57,177,580,false positive,acceptable driving,Gianna,30/11/17 15:49,207,No,No,43069.57,80,97,60
101996278,10157433,P04025-S00008556,2/9/17 20:18,480,distraction,glance_away,10.78,90,56,268,880,false positive,system error,Elyse,2/9/17 21:46,90,No,No,2/9/17 18:07,131,178,111
138494120,13317051,Unit001,30/11/17 18:13,480,distraction,glance_down,4.77,90,56,119,391,false positive,eyewear interference,Gianna,30/11/17 20:08,268,No,No,43069.64,167,228,142
102005935,10158257,P04025-S00008524,2/9/17 22:40,480,distraction,glance_away,8.53,79,49,187,612,false positive,acceptable driving,Elyse,2/9/17 22:42,355,No,No,2/9/17 18:55,226,301,187
102013212,10158257,P04025-S00008524,2/9/17 23:23,480,distraction,glance_away,4.42,89,55,109,358,false positive,acceptable driving,Benjamin,2/9/17 23:24,352,No,No,2/9/17 18:55,268,362,225
138889529,13356729,Unit001,1/12/17 12:47,480,fatigue,fatigue,2.17,44,27,26,87,false positive,acceptable driving,Darlene,1/12/17 13:40,357,Yes,Yes,43070.5,50,23,14
102128189,10171536,P04025-S00001233,3/9/17 6:47,480,distraction,glance_down,4.78,95,59,126,415,false positive,acceptable driving,Stefanie Mendoza,3/9/17 10:43,21,No,No,2/9/17 22:32,495,109,68
102138809,10167611,P04025-S00008517,3/9/17 7:03,480,distraction,glance_down,5.58,54,33,83,274,false positive,acceptable driving,Brandy,3/9/17 11:44,106,Yes,Yes,3/9/17 6:06,57,6,4
138995624,13365213,Unit001,1/12/17 18:01,480,fatigue,fatigue,60.8,89,55,1506,4942,false positive,acceptable driving,Richard,1/12/17 18:03,0,Yes,Yes,43070.69,92,126,78
102092801,10168322,P04025-S00001602,3/9/17 7:24,480,distraction,glance_away,4.88,86,54,117,384,false positive,acceptable driving,Benjamin,3/9/17 7:24,358,No,No,3/9/17 6:53,31,31,19
102138883,10167611,P04025-S00008517,3/9/17 7:35,480,distraction,glance_down,4.25,83,52,98,323,false positive,acceptable driving,Brandy,3/9/17 11:45,105,Yes,Yes,3/9/17 6:06,89,49,30
101507051,10117168,Unit064,1/9/17 8:15,480,distraction,glance_down,5.65,49,31,77,254,verified,distracted driving,Analyst 12,1/9/17 8:17,7,No,No,1/9/17 8:13,2,1,1
101519481,10117492,Unit016,1/9/17 9:05,480,distraction,glance_away,4.42,60,37,74,242,verified,distracted driving,Analyst 12,1/9/17 9:06,296,Yes,Yes,1/9/17 8:26,39,30,19
102098433,10167794,P04025-S00008570,3/9/17 7:58,480,fatigue,fatigue,2,69,43,39,127,false positive,acceptable driving,Elyse,3/9/17 7:58,114,Yes,Yes,3/9/17 6:19,99,30,19
102131312,10168322,P04025-S00001602,3/9/17 8:07,480,fatigue,fatigue,2,85,53,47,155,false positive,eyewear interference,Brandy,3/9/17 11:01,24,Yes,Yes,3/9/17 6:53,74,89,55
102138932,10167611,P04025-S00008517,3/9/17 8:08,480,distraction,glance_down,4.75,82,51,108,355,false positive,acceptable driving,Brandy,3/9/17 11:45,74,Yes,Yes,3/9/17 6:06,123,91,57
102101660,10168762,P04025-S00008524,3/9/17 8:17,480,distraction,glance_away,5.2,83,52,120,393,false positive,system error,Brandy,3/9/17 8:19,15,No,No,3/9/17 7:16,61,69,43
101523260,10118589,Unit075,1/9/17 9:18,480,distraction,fatigue,3.55,17,11,17,55,verified,distracted driving,Analyst 12,1/9/17 9:21,95,Yes,Yes,1/9/17 9:10,8,1,0
101524449,10118589,Unit075,1/9/17 9:21,480,distraction,fatigue,3.98,15,9,16,53,verified,distracted driving,Analyst 12,1/9/17 9:25,359,Yes,Yes,1/9/17 9:10,11,1,1
101563804,10121109,Unit065,1/9/17 11:26,480,distraction,glance_away,4.35,71,44,86,282,verified,distracted driving,Analyst 12,1/9/17 11:56,67,No,No,1/9/17 10:54,32,35,22
102142659,10172337,P04025-S00008517,3/9/17 12:03,480,distraction,glance_down,10.88,90,56,271,890,false positive,eyewear interference,Brandy,3/9/17 12:05,114,Yes,Yes,3/9/17 11:42,21,29,18
101580383,10119964,Unit067,1/9/17 12:18,480,distraction,glance_down,6.93,94,58,181,593,verified,distracted driving,Analyst 12,1/9/17 12:59,26,Yes,Yes,1/9/17 10:04,134,123,76
102145692,10169491,P04025-S00000949,3/9/17 12:20,480,distraction,glance_away,6.13,95,59,162,531,false positive,system error,Brandy,3/9/17 12:23,250,No,No,3/9/17 8:19,241,354,220
101580434,10119964,Unit067,1/9/17 12:26,480,distraction,glance_down,4.25,86,53,102,333,verified,distracted driving,Analyst 12,1/9/17 12:59,344,Yes,Yes,1/9/17 10:04,141,130,81
101634477,10121714,Unit072,1/9/17 13:50,480,distraction,fatigue,1.83,90,56,46,150,verified,distracted driving,Analyst 12,1/9/17 16:43,188,Yes,Yes,1/9/17 11:19,151,222,138
102156467,10173600,P04025-S00008517,3/9/17 13:19,480,distraction,glance_down,6.02,90,56,151,495,false positive,acceptable driving,Brandy,3/9/17 13:21,166,Yes,Yes,3/9/17 13:08,11,12,8
102184204,10172929,P04025-S00000529,3/9/17 13:32,480,distraction,glance_down,11.93,85,53,281,922,false positive,acceptable driving,Brandy,3/9/17 16:02,35,No,No,3/9/17 12:20,72,67,42
102170147,10173600,P04025-S00008517,3/9/17 13:33,480,distraction,glance_down,9.73,90,56,242,795,false positive,eyewear interference,Stefanie Mendoza,3/9/17 14:38,201,Yes,Yes,3/9/17 13:08,25,34,21
102166366,10173984,P04025-S00008556,3/9/17 14:15,480,fatigue,fatigue,1.97,89,56,49,160,false positive,acceptable driving,Stefanie Mendoza,3/9/17 14:17,355,Yes,Yes,3/9/17 13:34,42,58,36
102166670,10173984,P04025-S00008556,3/9/17 14:17,480,fatigue,fatigue,1.95,89,56,48,159,false positive,acceptable driving,Stefanie Mendoza,3/9/17 14:18,355,Yes,Yes,3/9/17 13:34,44,61,38
101634520,10121714,Unit072,1/9/17 14:50,480,distraction,fatigue,3.18,90,56,79,260,verified,distracted driving,Analyst 12,1/9/17 16:43,242,Yes,Yes,1/9/17 11:19,210,311,193
102172457,10173107,P04025-S00008524,3/9/17 14:50,480,distraction,glance_away,4.43,89,55,109,359,false positive,acceptable driving,Stefanie Mendoza,3/9/17 14:51,290,No,No,3/9/17 12:33,137,182,113
102176082,10174421,P04025-S00008624,3/9/17 15:01,480,fatigue,fatigue,1.97,89,56,49,160,false positive,acceptable driving,Stefanie Mendoza,3/9/17 15:12,89,Yes,Yes,3/9/17 14:07,55,76,47
102226061,10174459,P04025-S00006942,3/9/17 16:00,480,distraction,glance_away,6.23,83,52,144,473,false positive,acceptable driving,Brandy,3/9/17 20:01,42,No,No,3/9/17 14:09,111,117,73
112570129,11108294,Unit002,3/10/17 11:00,480,distraction,glance_away,4.52,32,20,40,131,false positive,acceptable driving,Stefanie Mendoza,3/10/17 11:07,95,No,No,3/10/17 9:40,80,62,39
102200726,10173107,P04025-S00008524,3/9/17 17:29,480,distraction,glance_away,5.97,80,49,132,432,false positive,acceptable driving,Brandy,3/9/17 17:36,190,No,No,3/9/17 12:33,296,295,183
101608333,10125765,Unit077,1/9/17 14:52,480,distraction,fatigue,1.98,90,56,49,162,verified,notifiable eye-closure,Analyst 16,1/9/17 14:54,203,Yes,Yes,1/9/17 14:10,43,57,36
102214729,10171533,P04025-S00001233,3/9/17 18:41,480,distraction,glance_away,4.38,31,19,37,122,false positive,acceptable driving,Brandy,3/9/17 18:57,228,No,No,3/9/17 10:41,480,534,332
102233546,10179288,P04025-S00006982,3/9/17 19:56,480,distraction,glance_away,4.23,90,56,106,347,false positive,acceptable driving,Zarifah,3/9/17 20:46,27,Yes,Yes,3/9/17 19:48,8,10,6
102322639,10179288,P04025-S00006982,3/9/17 20:05,480,distraction,glance_away,4.27,89,55,106,347,false positive,acceptable driving,Zarifah,4/9/17 5:22,27,Yes,Yes,3/9/17 19:48,17,23,14
101634571,10121714,Unit072,1/9/17 14:54,480,distraction,fatigue,1.53,89,55,38,125,verified,distracted driving,Analyst 12,1/9/17 16:43,248,Yes,Yes,1/9/17 11:19,214,317,197
102329587,10186859,P04025-S00000529,4/9/17 5:54,480,distraction,glance_down,4.53,79,49,100,327,false positive,acceptable driving,Zarifah,4/9/17 5:54,16,No,No,4/9/17 4:30,83,114,71
102394677,10195198,P04025-S00006863,4/9/17 5:59,480,fatigue,fatigue,2.02,90,56,50,165,false positive,yawning,Elyse,4/9/17 10:30,158,Yes,Yes,4/9/17 5:05,54,64,40
102336386,10189175,P04025-S00007089,4/9/17 6:24,480,fatigue,fatigue,8.17,0,0,0,1,false positive,testing,Zarifah,4/9/17 6:25,354,Yes,Yes,4/9/17 6:22,2,0,0
102365598,10187719,P04025-S00000881,4/9/17 6:31,480,fatigue,fatigue,1.55,91,56,39,128,false positive,acceptable driving,Elyse,4/9/17 8:32,23,Yes,Yes,4/9/17 5:16,75,94,59
102344811,10188713,P04025-S00000871,4/9/17 6:59,480,fatigue,fatigue,1.77,27,17,13,43,false positive,yawning,Zarifah,4/9/17 7:03,213,Yes,Yes,4/9/17 6:01,58,3,2
113558142,11195929,Unit002,5/10/17 20:25,480,distraction,glance_away,4.7,90,56,118,386,false positive,acceptable driving,andrew,5/10/17 20:27,74,No,No,5/10/17 18:17,127,181,112
113869085,11226669,Unit002,6/10/17 13:27,480,distraction,glance_away,4.3,89,55,106,348,false positive,eyewear interference,Zarifah,6/10/17 13:29,235,No,No,6/10/17 13:02,25,38,24
114153176,11249685,Unit002,7/10/17 6:25,480,distraction,glance_away,10.42,90,56,261,857,false positive,system error,Brandy,7/10/17 6:27,311,No,No,7/10/17 4:26,119,155,96
102376704,10188868,P04025-S00008517,4/9/17 8:18,480,distraction,glance_down,6.02,90,56,150,493,false positive,acceptable driving,Elyse,4/9/17 9:18,248,Yes,Yes,4/9/17 6:08,130,154,95
102369459,10192573,P01020-S00000110,4/9/17 8:46,480,fatigue,fatigue,2.03,17,11,10,32,false positive,yawning,Elyse,4/9/17 8:48,89,Yes,Yes,4/9/17 8:40,7,1,1
102381637,10189107,P04025-S00008568,4/9/17 9:36,480,distraction,glance_away,8.75,90,56,219,720,false positive,system error,Elyse,4/9/17 9:38,204,Yes,Yes,4/9/17 5:15,261,348,216
114153378,11249685,Unit002,7/10/17 6:25,480,distraction,glance_away,16.87,91,56,424,1392,false positive,acceptable driving,andrew,7/10/17 6:27,324,No,No,7/10/17 4:26,119,155,96
114153552,11249685,Unit002,7/10/17 6:25,480,distraction,glance_away,6.12,90,56,154,504,false positive,acceptable driving,Brandy,7/10/17 6:28,334,No,No,7/10/17 4:26,119,155,97
102412028,10194689,P04025-S00002198,4/9/17 11:38,480,distraction,glance_away,8.05,68,42,152,498,false positive,system error,Elyse,4/9/17 11:40,26,Yes,Yes,4/9/17 10:07,91,103,64
115755334,11384276,Unit002,11/10/17 11:05,480,distraction,glance_away,6.12,91,57,155,508,false positive,acceptable driving,Elyse,11/10/17 11:07,263,No,No,11/10/17 7:03,242,352,219
102424145,10197246,P04025-S00008445,4/9/17 12:26,480,distraction,glance_away,7.42,89,56,184,604,false positive,system error,Elyse,4/9/17 12:30,14,No,No,4/9/17 11:56,31,28,18
115795261,11393071,Unit002,11/10/17 13:07,480,fatigue,fatigue,10.98,91,57,279,915,false positive,eyewear interference,andrew,11/10/17 13:09,230,Yes,Yes,11/10/17 11:58,69,84,52
102433525,10198790,P04025-S00008570,4/9/17 13:07,480,distraction,glance_away,4.13,51,32,59,192,false positive,acceptable driving,Elyse,4/9/17 13:11,61,Yes,Yes,4/9/17 13:00,7,3,2
102439919,10197527,P04025-S00008556,4/9/17 13:19,480,distraction,glance_away,5.42,89,55,134,439,false positive,acceptable driving,Elyse,4/9/17 13:37,200,No,No,4/9/17 12:08,71,103,64
116275087,11431274,Unit002,12/10/17 15:01,480,distraction,glance_away,8.65,92,57,222,728,false positive,eyewear interference,andrew,12/10/17 15:04,68,No,No,43020.46,246,279,174
102447512,10200297,P04025-S00008628,4/9/17 14:07,480,distraction,glance_away,5.72,35,22,55,181,false positive,acceptable driving,Brandy,4/9/17 14:09,192,Yes,Yes,4/9/17 14:04,2,0,0
102450829,10193521,P04025-S00008624,4/9/17 14:19,480,distraction,glance_down,5.72,89,55,141,463,false positive,system error,Brandy,4/9/17 14:21,195,No,No,4/9/17 9:19,301,413,257
102458294,10196898,P04025-S00006825,4/9/17 14:22,480,distraction,glance_away,6.53,59,37,107,351,false positive,system error,Brandy,4/9/17 14:56,38,No,No,4/9/17 11:41,161,203,126
102453332,10194052,P04025-S00007060,4/9/17 14:31,480,distraction,glance_away,4.32,79,49,95,312,false positive,system error,Brandy,4/9/17 14:32,220,No,No,4/9/17 9:40,291,403,250
102455788,10199667,P04025-S00000937,4/9/17 14:35,480,distraction,glance_away,4.4,91,56,111,364,false positive,acceptable driving,Brandy,4/9/17 14:43,15,Yes,Yes,4/9/17 13:36,59,83,52
116644392,11464795,Unit002,13/10/17 11:09,480,fatigue,fatigue,41.65,92,57,1063,3488,false positive,acceptable driving,Stefanie Mendoza,13/10/17 11:11,249,Yes,Yes,43021.29,246,367,228
102460890,10195924,P04025-S00008538,4/9/17 15:01,480,distraction,glance_away,10.87,90,56,271,890,false positive,acceptable driving,Brandy,4/9/17 15:05,209,No,No,4/9/17 11:01,241,337,210
102491285,10203338,P04025-S00008517,4/9/17 17:09,480,distraction,glance_down,5.03,87,54,121,398,false positive,acceptable driving,Elyse,4/9/17 17:11,270,Yes,Yes,4/9/17 16:27,42,59,37
102492256,10203338,P04025-S00008517,4/9/17 17:13,480,distraction,glance_down,4.22,88,55,103,337,false positive,acceptable driving,Elyse,4/9/17 17:14,270,Yes,Yes,4/9/17 16:27,46,65,40
102494904,10200618,P04025-S00008560,4/9/17 17:21,480,distraction,glance_away,5.92,56,35,93,304,false positive,system error,Elyse,4/9/17 17:25,30,No,No,4/9/17 14:21,181,111,69
102532472,10201265,P04025-S00008624,4/9/17 17:31,480,distraction,glance_down,18.6,89,56,461,1514,false positive,eyewear interference,Zarifah,4/9/17 20:02,234,No,No,4/9/17 14:50,160,230,143
